frame,rendering,scripts,physics,animation,garbageCollector,VSync,globalIllumination,ui,others
155,0.26564,0.070317,0.004902,0.000732,0,0,0.000463,0.004821,7.598126
156,0.285952,0.056946,0.002657,0.000644,0,0,0.000474,0.005322,8.091827
157,0.241857,0.073755,0.004198,0.000841,0,0,0.000474,0.005661,11.31907
158,0.444356,0.064898,0.002159,0.000993,0,0,0.00048,0.004602,8.252569
159,0.291336,0.067911,0.004683,0.000716,0,0,0.000614,0.005714,11.1492
160,0.450471,0.059772,0.002146,0.000585,0,0,0.00043,0.004167,7.472106
161,0.254757,0.057746,0.004053,0.000575,0,0,0.000482,0.004176,7.617594
162,0.265969,0.066014,0.002259,0.000733,0,0,0.000569,0.005909,7.410346
163,0.267098,0.061136,0.002146,0.000833,0,0,0.000469,0.004559,8.371367
164,0.321053,0.069551,0.004553,0.000689,0,0,0.000515,0.004515,7.017581
165,0.272565,0.083002,0.002269,0.000878,0,0,0.000476,0.005395,7.720878
166,0.416139,0.079432,0.005358,0.000796,0,0,0.000426,0.008126,7.148112
167,0.362825,0.066935,0.001997,0.000683,0,0,0.000502,0.005928,8.012233
168,0.25796,0.069477,0.002495,0.000746,0,0,0.000451,0.005287,7.369047
169,0.295296,0.072823,0.005362,0.000755,0,0,0.000477,0.007034,7.780327
170,0.249677,0.062831,0.002357,0.000698,0,0,0.000441,0.004574,7.720493
171,0.352377,0.0692,0.005603,0.000845,0,0,0.000425,0.005179,7.318598
172,0.455165,0.09364,0.002271,0.00074,0,0,0.000437,0.00465,7.581707
173,0.525778,0.090751,0.002524,0.001226,0,0,0.000486,0.005141,7.791289
174,0.265055,0.069342,0.004786,0.001018,0,0,0.000617,0.004916,7.285757
175,0.336109,0.059591,0.001837,0.000593,0,0,0.000488,0.005612,8.007355
176,0.322882,0.121477,0.004662,0.000693,0,0,0.000527,0.006487,11.55409
177,0.403272,0.061341,0.002301,0.000618,0,0,0.000471,0.004543,7.139546
178,0.244314,0.069456,0.005167,0.000724,0,0,0.000492,0.00494,11.2575
179,0.263323,0.06677,0.002401,0.000717,0,0,0.000917,0.004934,12.65534
180,0.285804,0.061609,0.003484,0.000709,0,0,0.000463,0.004893,7.415953
181,0.366383,0.141062,0.002298,0.000964,0,0,0.000472,0.005458,11.70661
182,0.317091,0.079152,0.004964,0.000811,0,0,0.000461,0.005148,7.450221
183,0.463589,0.078563,0.002217,0.00076,0,0,0.00047,0.020078,11.15965
184,0.389045,0.134433,0.005333,0.000958,0,0,0.000539,0.005785,11.89481
185,0.271456,0.070223,0.002219,0.000717,0,0,0.00047,0.004921,6.726622
186,0.337488,0.080565,0.006764,0.000837,0,0,0.00046,0.004203,8.064882
187,0.289253,0.073123,0.00337,0.000807,0,0,0.00046,0.005436,11.73631
188,0.534453,0.064379,0.003856,0.000605,0,0,0.000866,0.005431,7.045531
189,0.26742,0.072026,0.002354,0.000794,0,0,0.000496,0.004645,7.615444
190,0.253501,0.074656,0.004959,0.000743,0,0,0.00042,0.004731,7.79099
191,0.269768,0.080344,0.002772,0.000876,0,0,0.000451,0.005779,7.56751
192,0.361849,0.080777,0.002421,0.000947,0,0,0.000448,0.006156,7.597481
193,0.387529,0.076421,0.005044,0.000918,0,0,0.000468,0.005483,7.689002
194,0.340688,0.071518,0.002811,0.001207,0,0,0.000452,0.00537,7.369774
195,0.474175,0.084436,0.005352,0.000667,0,0,0.000488,0.00428,8.490798
196,0.364713,0.070989,0.00214,0.000686,0,0,0.00044,0.005914,10.83043
197,0.25928,0.07006,0.004533,0.000998,0,0,0.0005,0.005823,7.31665
198,0.34013,0.15188,0.00222,0.000767,0,0,0.000459,0.005361,7.992108
199,0.255587,0.103608,0.002149,0.00071,0,0,0.000485,0.006757,11.98635
200,0.269355,0.073825,0.004882,0.000713,0,0,0.000458,0.005909,23.1307
201,0.478926,0.080688,0.005537,0.000857,0,0,0.000716,0.06618,23.33775
202,0.259851,0.069364,0.004241,0.000693,0,0,0.000432,0.004942,7.315891
203,0.255827,0.067393,0.004774,0.00068,0,0,0.000481,0.004967,7.649442
204,0.261072,0.068438,0.002221,0.000666,0,0,0.000475,0.005165,8.39813
205,0.644077,0.070363,0.004778,0.000723,0,0,0.000717,0.005424,10.6695
206,0.43729,0.084971,0.002412,0.000721,0,0,0.000727,0.005043,7.857337
207,0.505659,0.073396,0.004612,0.000715,0,0,0.000474,0.005557,10.87562
208,0.397036,0.065548,0.00232,0.000698,0,0,0.000463,0.004747,7.400945
209,0.269927,0.068161,0.004666,0.000676,0,0,0.00052,0.005459,8.23166
210,0.250124,0.073847,0.002345,0.000786,0,0,0.000453,0.005192,7.363087
211,0.488681,0.074781,0.003226,0.001331,0,0,0.000511,0.004885,7.265435
212,0.514928,0.073998,0.004931,0.00073,0,0,0.00054,0.00545,7.831608
