frame,totalAllocated,textureMemory,meshMemory,materialCount,objectCount,totalGCAllocated,globalIllumination,gcAllocated
155,384249856,14669824,217088,36,2245,10317824,0,15360
156,384903168,14669824,217088,36,2245,10330112,0,15360
157,384887808,14669824,217088,36,2245,10338304,0,15360
158,384906240,14669824,217088,36,2245,10350592,0,15360
159,385283072,14669824,217088,36,2245,10362880,0,15360
160,385978368,14669824,217088,36,2245,10371072,0,15360
161,385988608,14669824,217088,36,2245,10379264,0,15360
162,386391040,14669824,217088,36,2245,10391552,0,15360
163,387060736,14669824,217088,36,2245,10403840,0,16384
164,387094528,14669824,217088,36,2245,10412032,0,15360
165,387477504,14669824,217088,36,2245,10420224,0,15360
166,387486720,14669824,217088,36,2245,10428416,0,15360
167,388198400,14669824,217088,36,2245,10440704,0,15360
168,388570112,14669824,217088,36,2245,10448896,0,15360
169,388580352,14669824,217088,36,2245,10457088,0,15360
170,389265408,14669824,217088,36,2245,10473472,0,15360
171,389941248,14669824,217088,36,2245,10485760,0,15360
172,389946368,14669824,217088,36,2245,10489856,0,15360
173,390381568,14669824,217088,36,2245,10506240,0,15360
174,391035904,14669824,217088,36,2245,10522624,0,15360
175,391057408,14669824,217088,36,2245,10543104,0,15360
176,391472128,14669824,217088,36,2245,10563584,0,15360
177,392153088,14669824,217088,36,2245,10579968,0,15360
178,392233984,14669824,217088,36,2245,10604544,0,19456
179,391631872,14669824,217088,36,2245,10633216,0,24576
180,392034304,14669824,217088,36,2245,10641408,0,15360
181,392335360,14669824,217088,36,2245,10670080,0,16384
182,392768512,14669824,217088,36,2245,10690560,0,15360
183,393445376,14669824,217088,36,2245,10706944,0,15360
184,393461760,14669824,217088,36,2245,10723328,0,15360
185,393884672,14669824,217088,36,2245,10743808,0,15360
186,393879552,14669824,217088,36,2245,10764288,0,15360
187,394589184,14669824,217088,36,2245,10776576,0,15360
188,395290624,14669824,217088,36,2245,10797056,0,15360
189,395304960,14669824,217088,36,2245,10817536,0,15360
190,395705344,14669824,217088,36,2245,10838016,0,15360
191,396383232,14669824,217088,36,2245,10854400,0,15360
192,396607488,14669824,217088,36,2245,10870784,0,15360
193,396826624,14669824,217088,36,2245,10895360,0,15360
194,397217792,14669824,217088,36,2245,10911744,0,15360
195,397231104,14669824,217088,36,2245,10928128,0,15360
196,397932544,14669824,217088,36,2245,10948608,0,15360
197,398622720,14669824,217088,36,2245,10973184,0,15360
198,398636032,14669824,217088,36,2245,10985472,0,16384
199,399044608,14669824,217088,36,2245,11001856,0,21504
200,399910912,14669824,217088,36,2245,11046912,0,40960
201,400203776,14669824,217088,36,2245,11096064,0,37888
202,400657408,14669824,217088,36,2245,11116544,0,15360
203,401313792,14669824,217088,36,2245,11132928,0,15360
204,401713152,14669824,217088,36,2245,11153408,0,15360
205,401730560,14669824,217088,36,2245,11173888,0,15360
