frame,batches,setPassCall,triangles,vertices
155,2,2,1024,4096
156,2,2,1024,4096
157,2,2,1024,4096
158,2,2,1024,4096
159,2,2,1024,4096
160,2,2,1024,4096
161,2,2,1024,4096
162,2,2,1024,4096
163,2,2,1024,4096
164,2,2,1024,4096
165,2,2,1024,4096
166,2,2,1024,4096
167,2,2,1024,4096
168,2,2,1024,4096
169,2,2,1024,4096
170,2,2,1024,4096
171,2,2,1024,4096
172,2,2,1024,4096
173,2,2,1024,4096
174,2,2,1024,4096
175,2,2,1024,4096
176,2,2,1024,4096
177,2,2,1024,4096
178,2,2,1024,4096
179,2,2,1024,4096
180,2,2,1024,4096
181,2,2,1024,4096
182,2,2,1024,4096
183,2,2,1024,4096
184,2,2,1024,4096
185,2,2,1024,4096
186,2,2,1024,4096
187,2,2,1024,4096
188,2,2,1024,4096
189,2,2,1024,4096
190,2,2,1024,4096
191,2,2,1024,4096
192,2,2,1024,4096
193,2,2,1024,4096
194,2,2,1024,4096
195,2,2,1024,4096
196,2,2,1024,4096
197,2,2,1024,4096
198,2,2,1024,4096
199,2,2,1024,4096
200,2,2,1024,4096
201,2,2,1024,4096
202,2,2,1024,4096
203,2,2,1024,4096
204,2,2,1024,4096
205,2,2,1024,4096
206,2,2,1024,4096
207,2,2,1024,4096
208,2,2,1024,4096
209,2,2,1024,4096
210,2,2,1024,4096
211,2,2,1024,4096
212,2,2,1024,4096
213,2,2,1024,4096
214,2,2,1024,4096
215,2,2,1024,4096
216,2,2,1024,4096
217,2,2,1024,4096
218,2,2,1024,4096
219,2,2,1024,4096
220,2,2,1024,4096
221,2,2,1024,4096
222,2,2,1024,4096
223,2,2,1024,4096
224,2,2,1024,4096
225,2,2,1024,4096
226,2,2,1024,4096
227,2,2,1024,4096
228,2,2,1024,4096
229,2,2,1024,4096
230,2,2,1024,4096
231,2,2,1024,4096
232,2,2,1024,4096
233,2,2,1024,4096
234,2,2,1024,4096
235,2,2,1024,4096
236,2,2,1024,4096
237,2,2,1024,4096
238,2,2,1024,4096
239,2,2,1024,4096
240,2,2,1024,4096
241,2,2,1024,4096
242,2,2,1024,4096
243,2,2,1024,4096
244,2,2,1024,4096
245,2,2,1024,4096
246,2,2,1024,4096
247,2,2,1024,4096
248,2,2,1024,4096
249,2,2,1024,4096
250,2,2,1024,4096
251,2,2,1024,4096
252,2,2,1024,4096
253,2,2,1024,4096
254,2,2,1024,4096
255,2,2,1024,4096
256,2,2,1024,4096
257,2,2,1024,4096
258,2,2,1024,4096
259,2,2,1024,4096
260,2,2,1024,4096
261,2,2,1024,4096
262,2,2,1024,4096
263,2,2,1024,4096
264,2,2,1024,4096
265,2,2,1024,4096
266,2,2,1024,4096
267,2,2,1024,4096
268,2,2,1024,4096
269,2,2,1024,4096
270,2,2,1024,4096
271,2,2,1024,4096
272,2,2,1024,4096
273,2,2,1024,4096
274,2,2,1024,4096
275,2,2,1024,4096
276,2,2,1024,4096
277,2,2,1024,4096
278,2,2,1024,4096
279,2,2,1024,4096
280,2,2,1024,4096
281,2,2,1024,4096
282,2,2,1024,4096
283,2,2,1024,4096
284,2,2,1024,4096
285,2,2,1024,4096
286,2,2,1024,4096
287,2,2,1024,4096
288,2,2,1024,4096
289,2,2,1024,4096
290,2,2,1024,4096
291,2,2,1024,4096
292,2,2,1024,4096
293,2,2,1024,4096
294,2,2,1024,4096
295,2,2,1024,4096
296,2,2,1024,4096
297,2,2,1024,4096
298,2,2,1024,4096
299,2,2,1024,4096
300,2,2,1024,4096
301,2,2,1024,4096
302,2,2,1024,4096
303,2,2,1024,4096
304,2,2,1024,4096
305,2,2,1024,4096
306,2,2,1024,4096
307,2,2,1024,4096
308,2,2,1024,4096
309,2,2,1024,4096
310,2,2,1024,4096
311,2,2,1024,4096
312,2,2,1024,4096
313,2,2,1024,4096
314,2,2,1024,4096
315,2,2,1024,4096
316,2,2,1024,4096
317,2,2,1024,4096
318,2,2,1024,4096
319,2,2,1024,4096
320,2,2,1024,4096
321,2,2,1024,4096
322,2,2,1024,4096
323,2,2,1024,4096
324,2,2,1024,4096
325,2,2,1024,4096
326,2,2,1024,4096
327,2,2,1024,4096
328,2,2,1024,4096
329,2,2,1024,4096
330,2,2,1024,4096
331,2,2,1024,4096
332,2,2,1024,4096
333,2,2,1024,4096
334,2,2,1024,4096
335,2,2,1024,4096
336,2,2,1024,4096
337,2,2,1024,4096
338,2,2,1024,4096
339,2,2,1024,4096
340,2,2,1024,4096
341,2,2,1024,4096
342,2,2,1024,4096
343,2,2,1024,4096
344,2,2,1024,4096
345,2,2,1024,4096
346,2,2,1024,4096
347,2,2,1024,4096
348,2,2,1024,4096
349,2,2,1024,4096
350,2,2,1024,4096
351,2,2,1024,4096
352,2,2,1024,4096
353,2,2,1024,4096
354,2,2,1024,4096
355,2,2,1024,4096
356,2,2,1024,4096
357,2,2,1024,4096
358,2,2,1024,4096
359,2,2,1024,4096
360,2,2,1024,4096
361,2,2,1024,4096
362,2,2,1024,4096
363,2,2,1024,4096
364,2,2,1024,4096
365,2,2,1024,4096
366,2,2,1024,4096
367,2,2,1024,4096
368,2,2,1024,4096
369,2,2,1024,4096
370,2,2,1024,4096
371,2,2,1024,4096
372,2,2,1024,4096
373,2,2,1024,4096
374,2,2,1024,4096
375,2,2,1024,4096
376,2,2,1024,4096
377,2,2,1024,4096
378,2,2,1024,4096
379,2,2,1024,4096
380,2,2,1024,4096
381,2,2,1024,4096
382,2,2,1024,4096
383,2,2,1024,4096
384,2,2,1024,4096
385,2,2,1024,4096
386,2,2,1024,4096
387,2,2,1024,4096
388,2,2,1024,4096
389,2,2,1024,4096
390,2,2,1024,4096
391,2,2,1024,4096
392,2,2,1024,4096
393,2,2,1024,4096
